carrs_fup,variable,est,value,type,group
CARRS1_Baseline,waistcircumference,mean,85.87344592934902,Continuous,NA
CARRS1_Baseline,waistcircumference,sd,12.408465694433696,Continuous,NA
CARRS1_Baseline,waistcircumference,median,86,Continuous,NA
CARRS1_Baseline,waistcircumference,q25,77.69999694824219,Continuous,NA
CARRS1_Baseline,waistcircumference,q75,94,Continuous,NA
CARRS1_Baseline,waistcircumference,min,40.20000076293945,Continuous,NA
CARRS1_Baseline,waistcircumference,max,167.5,Continuous,NA
CARRS1_Baseline,waistcircumference,freq,9234,Continuous,NA
CARRS1_Baseline,waistcircumference,missing,394,Continuous,NA
CARRS1_Baseline,hipcircumference,mean,95.7704887588582,Continuous,NA
CARRS1_Baseline,hipcircumference,sd,10.61004719199869,Continuous,NA
CARRS1_Baseline,hipcircumference,median,95,Continuous,NA
CARRS1_Baseline,hipcircumference,q25,88.75,Continuous,NA
CARRS1_Baseline,hipcircumference,q75,102,Continuous,NA
CARRS1_Baseline,hipcircumference,min,46.20000076293945,Continuous,NA
CARRS1_Baseline,hipcircumference,max,180,Continuous,NA
CARRS1_Baseline,hipcircumference,freq,9227,Continuous,NA
CARRS1_Baseline,hipcircumference,missing,401,Continuous,NA
CARRS1_Baseline,weight,mean,63.75049257543022,Continuous,NA
CARRS1_Baseline,weight,sd,13.473071908477547,Continuous,NA
CARRS1_Baseline,weight,median,63,Continuous,NA
CARRS1_Baseline,weight,q25,54.29999923706055,Continuous,NA
CARRS1_Baseline,weight,q75,72,Continuous,NA
CARRS1_Baseline,weight,min,29.799999237060547,Continuous,NA
CARRS1_Baseline,weight,max,131.6999969482422,Continuous,NA
CARRS1_Baseline,weight,freq,8831,Continuous,NA
CARRS1_Baseline,weight,missing,797,Continuous,NA
CARRS1_Baseline,height,mean,157.7673216165486,Continuous,NA
CARRS1_Baseline,height,sd,9.16656780329425,Continuous,NA
CARRS1_Baseline,height,median,157,Continuous,NA
CARRS1_Baseline,height,q25,150.8000030517578,Continuous,NA
CARRS1_Baseline,height,q75,164.5,Continuous,NA
CARRS1_Baseline,height,min,126.1999969482422,Continuous,NA
CARRS1_Baseline,height,max,196.3999938964844,Continuous,NA
CARRS1_Baseline,height,freq,9110,Continuous,NA
CARRS1_Baseline,height,missing,518,Continuous,NA
CARRS1_Baseline,sbp,mean,121.26768867924528,Continuous,NA
CARRS1_Baseline,sbp,sd,19.341769864053088,Continuous,NA
