variable,estimate,lci,uci,type,group,est,n
glucose,116.76900716826188,116.4677591098962,117.07025522662755,Continuous,NA,mean,653974
waistcircumference,81.040177390203,80.89739406834445,81.18296071206154,Continuous,NA,mean,662774
hipcircumference,91.57372723134415,91.4459101376192,91.70154432506911,Continuous,NA,mean,662769
weight,57.26096516104697,57.1104883985241,57.41144192356984,Continuous,NA,mean,663745
height,157.50639180928442,157.3842109521779,157.62857266639094,Continuous,NA,mean,663630
sbp,118.67907758841297,118.5457862049551,118.81236897187082,Continuous,NA,mean,662812
dbp,79.73437815823189,79.64429848187818,79.8244578345856,Continuous,NA,mean,662799
bmi,23.01337458183848,22.97051609584277,23.056233067834192,Continuous,NA,mean,662866
age,34.25344785378609,34.1861916114788,34.32070409609339,Continuous,NA,mean,686817
alcohol,0.13493333912656857,0.1302532566312427,0.13961342162189444,Continuous,NA,mean,686817
eduyr,8.005661809250888,7.936100657023607,8.07522296147817,Continuous,NA,mean,686817
htn,20.595010598269862,20.247345156175157,20.947077820320896,Proportion,NA,proportion,662794
dm,3.9413751589678805,3.782198002072178,4.106965482442767,Proportion,NA,proportion,654090
history_htn,6.30769891070731,6.1088956724955334,6.51252309504918,Proportion,NA,proportion,686817
history_dm,2.5855694812625485,2.457715035766711,2.7198896652661086,Proportion,NA,proportion,686817
medication_bp,3.1440575409118168,3.014195771019358,3.279325019370826,Proportion,NA,proportion,686817
medication_dm,1.904978447564024,1.792401940118371,2.0244798612877926,Proportion,NA,proportion,686817
smokecurr,23.6366574934252,23.139147245418627,24.14150479253526,Proportion,NA,proportion,686528
alcohol,13.493334166013652,13.03213829811258,13.9682299217793,Proportion,NA,proportion,686817
marital,79.18683076361208,78.82869404573131,79.54048158469422,Proportion,NA,proportion,686817
kitchen,73.16125804827217,72.5435650028415,73.7700793019696,Proportion,NA,proportion,538908
fuel,60.77030496179514,59.96600079280137,61.56880619772721,Proportion,NA,proportion,686651
water,95.77141466347099,95.4913299044142,96.03482265939417,Proportion,NA,proportion,669344
toilet,71.66142086155406,71.08406313337265,72.23175390293679,Proportion,NA,proportion,686816
tv,71.46957301288734,70.90881818626018,72.02378341239915,Proportion,NA,proportion,686817
fridge,41.11653133965951,40.358627848431645,41.87867372666671,Proportion,NA,proportion,686817
wmachine,18.113461402426037,17.531872976481427,18.70996584459129,Proportion,NA,proportion,686817
mobile,96.52091245428748,96.35868885268678,96.67615815087282,Proportion,NA,proportion,686817
computer,10.41225631824271,9.912894911186886,10.933719966271314,Proportion,NA,proportion,686817
car,8.039857742556984,7.735266987380656,8.355356190414593,Proportion,NA,proportion,686817
scooter,55.58372268577345,54.96399553827218,56.201717428578334,Proportion,NA,proportion,686817
bicycle,52.207287084632284,51.504445877036474,52.90925537970952,Proportion,NA,proportion,686817
religion,80.59242307100605,79.88114649101406,81.28444495439815,Grouped,Hindu,proportion,686817
religion,14.0371967152615,13.364439686872446,14.73805872764701,Grouped,Muslim,proportion,686817
religion,5.3703801959017925,5.0933115179246515,5.661621881592415,Grouped,Other,proportion,686817
sex,50.000000000001656,49.185256694457244,50.81474330554605,Grouped,1,proportion,686817
sex,49.99999999999835,49.18525669445395,50.814743305542756,Grouped,2,proportion,686817
glucose,34.199146437311164,NA,NA,Continuous,NA,sd,653974
waistcircumference,12.541050143204254,NA,NA,Continuous,NA,sd,662774
hipcircumference,10.80211713350809,NA,NA,Continuous,NA,sd,662769
weight,12.26395709518756,NA,NA,Continuous,NA,sd,663745
height,8.928153026730797,NA,NA,Continuous,NA,sd,663630
sbp,14.547668240163905,NA,NA,Continuous,NA,sd,662812
dbp,10.048672175886036,NA,NA,Continuous,NA,sd,662799
bmi,4.309187475748979,NA,NA,Continuous,NA,sd,662866
age,9.271543686658749,NA,NA,Continuous,NA,sd,686817
alcohol,0.34165260583166623,NA,NA,Continuous,NA,sd,686817
eduyr,5.315089566138364,NA,NA,Continuous,NA,sd,686817
