district,dm_control_hba1c,dm_control_hba1c_se,dm_control_hba1c_lt7,dm_control_hba1c_lt7_se,dm_control_rbg,dm_control_rbg_se,n
1,0.7755276719937536,0.16692582211299528,0.6476401004690384,0.17254328018032725,0.7902529747530688,0.1662726213162074,30
2,0.813446578536327,0.10985868909660247,0.7708574701976126,0.11624909476093619,0.8379100466194795,0.10905334677417562,32
3,0.8302009594044963,0.10791435373190898,0.2081258449562788,0.12626669007761412,1,0,16
4,0.9201174997514072,0.06110778760778224,0.8517694430585442,0.07114593607076979,0.9932802133370702,0.005970568081650422,109
5,0.46741476634943335,0.13803664463982707,0.41337208522816693,0.1392330296934478,0.5305813246468023,0.16164533263119146,39
6,0.6278809647170986,0.23842308671388163,0.6278809647170986,0.23842308671388163,0.7095026268891345,0.24106744351048556,16
7,0.7915069462369134,0.09706502501304277,0.15461761373101435,0.10472186907865046,0.8567028577600331,0.09039541824749982,13
8,0.6202542964908716,0.18210423446841081,0.27083284269302044,0.11434989451159923,0.6892334463546285,0.1804735668040681,27
9,0.9457520137697513,0.03894332939473657,0.6376501777895871,0.10817900898099783,0.9592272701792386,0.03541343124324861,41
10,0.5816570809778869,0.1623297674390083,0.24869059207076974,0.09105731347700104,0.6037423791070052,0.16659492221756037,32
11,0.4006607693541873,0.1681711205748172,0.23960845164647715,0.11064296421681698,0.4006607693541873,0.1681711205748172,30
12,0.573613032554944,0.2268819111805615,0.4500910855708135,0.2097893040542226,0.9111124110599744,0.0554263188059693,21
13,0.9610595683787536,0.03607349959369478,0.8152418562776231,0.06748745393302619,1,0,26
14,0.8193939176588103,0.13312315977730418,0.6906951554024913,0.1759471984623711,0.8193939176588103,0.13312315977730418,24
15,0.9230938016793754,0.07500658355157613,0.16781287146400495,0.139688330614594,0.9600228536003633,0.048127589170351,8
16,0.7603412106624412,0.09218073380159095,0.7017867881131677,0.13025791875491263,0.8792203914645902,0.06382464679213447,7
17,0.971233194079661,0.024538037492539126,0.9444344654433243,0.033644400945134025,1,0,44
18,0.9129184069021927,0.04999558083007821,0.5435858736788198,0.1127870315681661,0.9423414392854719,0.03988200080546784,31
19,0.9362352192466538,0.02964043328170147,0.26298845664116305,0.16837588610944704,0.9606953298798198,0.0287961446917461,29
20,0.8545618049836035,0.11020441837634921,0.3000942952102754,0.19501459672985225,0.8545618049836035,0.11020441837634921,10
21,0.9095924325702457,0.06140984326793881,0.47602307043377956,0.15234493978480065,0.9095924325702457,0.06140984326793881,28
22,0.9401136933647218,0.04448578435573508,0.5524270773491292,0.23917354583837822,0.9401136933647218,0.04448578435573508,20
23,0.9428934622451941,0.050679236245686515,0.9094174959974016,0.070079055907926735,0.9428934622451941,0.050679236245686515,17
24,0.5842819277178776,0.14664286223659678,0.39913777295143293,0.14535968312076308,0.5842819277178776,0.14664286223659678,17
25,1,0,0.6387273150302466,0.28420757663687485,1,0,3
26,0.6161303189667708,0.18238806208246175,0.5086306544137656,0.14474598640281583,0.6558122076298591,0.18314734299738175,48
27,0.3754513805341777,0.2153602967254196,0.3305275812082838,0.19676181824313618,0.3754513805341777,0.2153602967254196,11
28,0.7590522666946674,0.09319891327000321,0.4713561817043873,0.08286866149144743,0.7590522666946674,0.09319891327000321,27
29,0.5705107918835054,0.1440906217636973,0.1890554140035846,0.08319696181888181,0.6818486776543042,0.1580312831399505,35
30,0.19027060392861014,0.09764685905630208,0.07640241870293213,0.051054407731880844,0.24955741764845066,0.12020721519699659,17
31,0.2252227626851126,0.12414204401214396,0.2252227626851126,0.12414204401214396,0.2252227626851126,0.12414204401214396,14
32,0.6602374892221962,0.08516014863490501,0.5469930413610118,0.049956186621587,0.6602374892221962,0.08516014863490501,24
33,0.4011587100965239,0.1613666303696827,0.14011933089964201,0.09614661272001532,0.564907677425277,0.16457452149559143,14
34,0.3958209120783128,0.14505235598632882,0.3958209120783128,0.14505235598632882,0.3958209120783128,0.14505235598632882,8
36,0.20939763261788355,0.11747602137898808,0.1488244558697795,0.11340621623853044,0.2986478832993725,0.1279150479342211,23
37,0.16565165002679363,0.09063172835263977,0.0671287173533337,0.04791668907778732,0.22109090474135298,0.08170018978722077,22
38,0.2591804359723993,0.1290969330015977,0.2066928677637928,0.11322439001399859,0.30506408990418526,0.14181402761706274,18
39,0.24391309484739943,0.08524377545113748,0.028259372653312884,0.025962303177066822,0.4522557457124232,0.10730446582856823,21
40,0.21868578251537193,0.09345764198859267,0.06066806845344881,0.043694463392729026,0.2103874052864538,0.08992778433410564,22
41,0.2831099673045175,0.1531391396470205,0.15438657436455755,0.11596683452546276,0.4628814641375998,0.13325695173159244,17
42,0.33365549285890056,0.0866749603828341,0.1742553752244153,0.0733435002258355,0.4718715929204819,0.08766699638615529,23
44,0.5374906815460255,0.13426797845325666,0.2825844026091926,0.10638013776377031,0.5571070055720492,0.1327378042817399,23
45,0.5122071986012813,0.12156961812224035,0.362729525043364,0.11478762185287185,0.5715063440236832,0.12022872005593996,38
46,0.6288976086794562,0.11385457035126074,0.42911879265550873,0.10772232891244578,0.7354676947743403,0.08898405026658363,28
47,0.3948382704574729,0.10844207103990794,0.23881063441362294,0.09329179407100359,0.5556600500790014,0.1488975093775035,21
48,0.14188892532816805,0.08845181066997028,0.07359122856625078,0.05658379700210441,0.18644883205353954,0.10247061513535034,18
49,0.43125069713542924,0.13010487868953743,0.2593046257660652,0.10017937704812804,0.47282958483031934,0.12420555606997302,25
50,0.2611805471139499,0.09379707534989036,0.15174930121892946,0.07810355505993584,0.3013547777736559,0.09857835163174902,18
51,0.2396175366946934,0.10236627484604864,0.10019208105889543,0.05195813045151306,0.3294353937961652,0.10771396529839371,26
52,0.4378621949863911,0.17748419367547152,0.20412788266623247,0.1366215297106349,0.48447411889859454,0.17118962413254835,19
53,0.4682422356437838,0.1388018907971585,0.39192896733355703,0.12700070458420076,0.42258434800529004,0.13046164274812355,32
54,0.36478341789678637,0.1693081158053849,0.2586532439181488,0.11614482953737561,0.38942662687059965,0.17099143417443183,22
55,0.15678060694697693,0.05818007069585906,0.07710336700567035,0.048009908298604326,0.2216130514369348,0.07178546113551475,24
56,0.2573928819330055,0.22292472371614827,0.2573928819330055,0.22292472371614827,0.47526512324917525,0.25437272652372406,4
57,0.8888700294823648,0.07902148630504104,0.719644690588011,0.11895793398692221,0.8888700294823648,0.07902148630504104,14
58,0.36696608281658066,0.2334594786023323,0.19097782549368053,0.15038307591119124,0.36696608281658066,0.2334594786023323,5
59,0.8338202029566687,0.1510423133735208,0.7316009836641839,0.1697852591904224,0.8338202029566687,0.1510423133735208,7
60,0.4708405806790382,0.15654401762918718,0.21851980010267597,0.08650096450342847,0.4953258545774415,0.15930631195007883,26
61,0.655275253617382,0.1118235212049355,0.5744382899549954,0.12783759088785215,0.655275253617382,0.1118235212049355,17
62,0.4642803526182341,0.25204252906516134,0.3260784649292655,0.2178637027441459,0.4642803526182341,0.25204252906516134,5
63,0.7944692153631051,0.14370184614587878,0.7944692153631051,0.14370184614587878,0.7944692153631051,0.14370184614587878,8
64,0.5493267555273937,0.23383106218945213,0.16728497036718543,0.1573469327706849,0.697942926972776,0.15595850686802212,6
65,0.5746096073792242,0.10186036380478501,0.4879326588047103,0.09249592307977404,0.599912763056889,0.09615650295185596,26
66,0.33126884332670264,0.1332069668234422,0.17702238837404954,0.09880079067778169,0.4368802514072304,0.11434536920082948,23
67,0.393059414700139,0.11657073785441908,0.24064498532968592,0.09939751305371136,0.5860669100357677,0.12464872756510634,23
68,0.5775535311381769,0.0912980183744816,0.38212578559757826,0.15706773388506048,0.6025792556817559,0.10614487313653852,25
69,0.20072535300391522,0.0720995992702023,0.13545892032807874,0.06655288594785419,0.3989264390860031,0.13916141498633555,16
70,0.5782390855719437,0.11998939111771702,0.28415662220495114,0.07978487031933888,0.5782390855719437,0.11998939111771702,21
71,0.5392497296892399,0.09771591018069051,0.38309387668357303,0.10262534895847487,0.5755494075123442,0.09400952444814435,39
72,0.7160295323595678,0.09404867815658136,0.4765687533522663,0.09727019902129039,0.7378582268349632,0.08456227133732898,60
73,0.27788880300905716,0.18787012571131992,0.1394198109173526,0.13644623160422442,0.27788880300905716,0.18787012571131992,7
74,0.6083531110312397,0.1066368112588383,0.4321621391710975,0.07609165478746367,0.6385678530400692,0.10840159556221553,36
75,0.8118347691229614,0.08354729486938242,0.7405815079506306,0.10254297616979681,0.8634007452342808,0.06584615423583166,33
76,0.17735709770676403,0.07233692512630636,0.17735709770676403,0.07233692512630636,0.39551505463632086,0.13655513684003176,22
77,0.5305855157643903,0.1573951201859843,0.4094113508307488,0.14636530148918597,0.7121329424694057,0.152522975993682,16
78,0.3469225331029686,0.12570200000738402,0.17569849407432195,0.11400590184353818,0.7455066717587289,0.1492465671969467,11
79,0.9297749931028474,0.04868485603159517,0.7478393181257169,0.10179976118254307,0.9596549971685374,0.03813280061463465,26
80,0.8080145510500878,0.06177834400101248,0.5624420213571818,0.11499175457202093,0.8194754239728156,0.06117406396741727,57
82,0.8108656361960195,0.06399789638552356,0.5996733728103654,0.07064197828635661,0.9035615602889652,0.0539213192793164,77
83,0.492405624544321,0.152872234444659,0.2590210208834663,0.12188601664130873,0.5201930850547737,0.14294359507648852,18
84,0.14293104303084808,0.10676078156332108,0.14293104303084808,0.10676078156332108,0.22277488881269175,0.13831925964723316,9
85,0.4237660308674168,0.2634674376049849,0.35637478892436725,0.24367891089758714,0.9475242875275329,0.057993090839281565,8
86,0.7923083179371491,0.1360104590255116,0.44161580842632214,0.24115611100601106,0.8201717813305333,0.12637955229612866,7
87,1,0,1,0,1,0,5
88,0.31691802888376686,0.13764599341161543,0.16077961180558445,0.08688500122453648,0.6055518203459923,0.09602342175478329,16
89,0.6477198507610082,0.1386846552045803,0.6075602527840053,0.13398983981885856,0.6477198507610082,0.1386846552045803,18
99,0.7784692072180837,0.08219251122799867,0.6339388328343024,0.08866695063758995,0.8864056364828995,0.04194279083117582,53
100,0.8366003452922219,0.07642972758515103,0.6876695559837944,0.11089990634305949,0.8937887440989765,0.06356236126183819,43
101,0.9284933415644203,0.04818808989428639,0.4895319982932637,0.13062949065972784,0.9284933415644203,0.04818808989428639,34
102,0.8595160990936254,0.05677439689014952,0.7557182775081124,0.0762943784437309,0.9071798086172173,0.05206311043177792,35
